FIPS,Total_Actual_Costs,Total_Standardized_Costs,Part_B_Drugs_Per_Capita_Actual_Costs,Total_Population_Based_Payment_Reduction_Costs,PQI03_Diabetes_LT_Complication_Admission_Rate_(age_<_65),PQI03_Diabetes_LT_Complication_Admission_Rate_(age_65-74),PQI03_Diabetes_LT_Complication_Admission_Rate_(age_75+),PQI07_Hypertension_Admission_Rate_(age_<_65),PQI07_Hypertension_Admission_Rate_(age_65-74),PQI07_Hypertension_Admission_Rate_(age_75+)
26063,60959034.41,61265306.2,204.15, ,,,,,,
26065,251375003.59,238066346.48,277.75, ,,,,,,
26067,50445768.97,48250258.66,259.48, ,,,,,,
26069,48727679.38,49591857.38,129.79, ,,,,,,
26071,20528122.12,20853714.39,154.22, ,,,,,,
26073,44991172.84,44985545.55,150.39, ,,,,,,
26075,175393061.76,169998047.83,241.05, ,,,,,,
26077,219664964.34,201910520.29,294.88, ,,,,,,
26079,19886425.7,19636826.26,285.37, ,,,,,,
26081,396313024.6,367599395.78,306.84, ,,,,,,
26083,2925080.49,3005036.89,15.41, ,,,,,,
26085,18065023.81,17733487.92,261.46, ,,,,,,
26087,92176229.17,88636458.9,402.34, ,,,,,,
26089,24803611.74,24660415.94,266.09, ,,,,,,
26091,95523292.74,93768436.59,202.19, ,,,,,,
26093,147766722.53,137354629.37,221.77, ,,,,,,
26095,12044442.74,12188255.65,112.1, ,,,,,,
26097,18330249.01,18489555.56,176.84, ,,,,,,
26099,1109368782.69,1045522502.2,377.72, ,,,,,,
26101,33712304.22,32968727.93,300.55, ,,,,,,
26103,61513898.62,59235415.2,246.56, ,,,,,,
26105,37945799.33,37830034.36,446.66, ,,,,,,
26107,38052794.32,36510257.11,202.8, ,,,,,,
26109,24992679.55,25699095.15,260.43, ,,,,,,
26111,85119154.91,83718266.17,198.56, ,,,,,,
26113,16046986.26,16040946.89,244.09, ,,,,,,
26115,162693505.86,157711353.82,234.97, ,,,,,,
26117,66816990.5,64209416.45,239.48, ,,,,,,
26119,18911285.82,18592019.07,132.98, ,,,,,,
